
ID;Name
a3924-1;Amsterdamas
a2518-1;Asmena
a3913-1;Bad Oinhauzenas
a2664-1;Balstogė
a2641-2;Bauskė
a5557-1;Bielica
a5564-1;Bytenas
a5544-1;Bobruiskas
a2559-1;Breslauja
a2642-1;Daugpilis
a5559-1;Diatlovas
a2410-1;Druskienniki
a5550-1;Dvorčianai
a3922-1;Elblongas
a2643-1;Eleja
a5551-1;Falevičiai
a5573-1;Filipanai
a3915-1;Freiburgas
a2533-1;Gardinas
a5514-1;Gaza
a3923-1;Gdanskas
a5558-1;Gezgalai
a2527-1;Girios
a5523-1;Glubokij Ručej
a2528-1;Glubokoje
a5527-1;Gončarai
a2507-1;Gracas
a5571-1;Grebalai
a5572-1;Gudininkai
a5553-1;Gumanikai
a2508-1;Insbrukas
a2408-1;Kauna
a57-1;Kaunas Airport
a5513-1;Kernianai
a5229-1;Kijevas
a3911-1;Kylis
a5521-1;Komarovas
a3916-1;Konstanca
a5522-1;Konstantinovas
a5507-1;Kotlovka
a5560-1;Kozlovščina
a5568-1;Kraslievičiai
a5519-1;Kryžovka
a3912-1;Liubekas
a3917-1;Liublinas
a2802-1;Lodzė (Niepodleglosci)
a3918-1;Lvov
a21-1;Marijampol
a5515-1;Michališkės
a5534-1;Mikuličiai
a5529-1;Milkovičiai
a5526-1;Minoitai
a2551-1;Minskas
a10001-1;Mogiliovas Mogilev
a5000-1;Mrągowo
a5554-1;Naročius
a3793-1;Neringos muitinė
a5537-1;Novyj Dvor
a2555-1;Novogrudok
a5528-1;Orkovičiai
a5538-1;Ostrinas
a5569-1;Ozaričiai
a5539-1;Ozerai
a5543-1;Pariečė
a2561-1;Pastovys
a5561-1;Pavlovas
a4807-1;PC Akropolis
a2614-1;Piarnu
a2651-1;Pļaviņas
a2560-1;Polockas
a1237-1;Ponewiez
a5533-1;Poriečje
a1910-1;Prienai
a5530-1;Prilukai
a5541-1;Rėčica
a2656-1;Riiga lennujaam
a2655-1;Ryga
a2657-1;Rygos jūrų uostas
a5512-1;Rymdzyuny
a5535-1;Rodūnia
a5547-1;Rovnoje Pole
a6006-1;Sankt Peterburgas
a1641-1;Sauli
a5517-1;Sidariškės
a5549-1;Šyrki
a5511-1;Sloboda
a5508-1;Slobodka
a5562-1;Slonimas
a5540-1;Smėlynė
a5518-1;Strača
a5556-1;Švakštai
a5542-1;Svetlogorskas
a5532-1;Svitiazis
a5520-1;Svyriai
a2615-1;Talinas
a2616-1;Talino uostas A terminalas
a2617-1;Talino uostas D terminalas
a5567-1;Telechanai
a5548-1;Tolminovas
a5531-1;Valevka
a5570-1;Vališčė
a5552-1;Varenkai
a2684-1;Varšuva Centrinė
a2687-1;Varšuva Zachodnė
a4991-1;Ventspils
a2517-1;Viena
a3853-1;Vilnius airport (VNO)
a3914-1;Viurcburgas
a5510-1;Vornianai
a5509-1;Vorona
a2686-1;Warsaw airport
a2412-1;Wilno
a5536-1;Zabolotje
a2513-1;Zalcburgas
a5525-1;Žirmūnai
a5563-1;Žirovičiai
a5516-1;Žukainiai
a2663-1;Августов
a2520-1;Барановичи
a4110-1;Бастуны
a4111-1;Бенякони
a2523-1;Борисов
a2524-1;Брест
a7919-1;Винница
a1016-1;Висагинас
a3919-1;Гижицко
a9989-1;Дубно
a9996-1;Ивангород
a2509-1;Клагенфурт
a1474-1;Клайпеда
a9992-1;Ковель
a2547-1;Лида
a9991-1;Луцк
a1614-1;Мажейкяй
a4113-1;Молодечно
a6703-1;Москва (АС "Тушинская")
a3015-1;Нида
a3921-1;Ольштын
a1481-1;Паланга
a2596-1;Прага (Желевскего)
a2568-1;Скидель
a4112-1;Сморгонь
a2681-1;Сувалки
a7921-1;Тернополь
a7920-1;Хмельницкий
a2567-1;Щучин
a2a3924-1;Амстердам
a2a2518-1;Ашмяны
a3a2518-1;Ошмяны
a2a3913-1;Бад Ойнхаузен
a2a2664-1;Бялысток
a2a2641-2;Bauske
a3a2641-2;Бауска
a2a5557-1;Белица
a2a5564-1;Бытень
a2a5544-1;Бобруйск
a2a2559-1;Браслав
a3a2559-1;Braslava
a2a2642-1;Даугавпилс
a2a5559-1;Дятлово
a2a2410-1;Друскининкай
a2a5550-1;Дворчаны
a2a3922-1;Эльблонг
a2a5551-1;Фалевичи
a2a5573-1;Филипаны
a2a3915-1;Фрэйбург
a3a3915-1;Фрайбург
a2a2533-1;Hrodno
a3a2533-1;Hrodna
a4a2533-1;Гродно
a2a5514-1;Газа. Goza
a3a5514-1;Гоза
a2a3923-1;Danzig
a3a3923-1;Гданьск
